ownership   n.所有权,物主身份
plug   vt.堵,塞,插上,插栓;n.塞子,插头,插销
plunge   n.跳进,投入;vi.投入,跳进,陷入;vt.使投入,使插入,使陷入
plural   adj.复数的
plus   prep.加上;adj.正的,加的
poem   n.诗,象诗一样,美丽的东西
poet   n.诗人
poetry   n.诗,作诗法,诗意,诗情
poison   n.毒药,败坏道德之事,毒害;vt.毒害,败坏,使中毒;vi.放毒,下毒
poisonous   adj.有毒的
pole   n.棒,柱,杆,竿,极,磁极,电极;vt.用竿支撑,用棒推;vi.撑篙
policy   n.政策,方针
polish   n.磨光,光泽,上光剂,优雅,精良;vt.擦亮,发亮,磨光,推敲;vi.发亮,变光滑;adj.波兰的;n.波兰人
